term, estimate , std.error , statistic , p.value ,dvar,ivar,form,
bannerRunTRUE,181.8027,44.6162,4.0748,0,pageviews,bannerRun,level-level,a one unit increase in bannerRun increases pageviews by 181.802748795431
bannerRunTRUE,0.2504,0.0516,4.8515,0,pageviews,bannerRun,log-level,a one unit increase in bannerRun increases pageviews by 25.0424837898016%
impressions,0.0253,0.0066,3.8568,0.0001,pageviews,impressions,level-level,a one unit increase in impressions increases pageviews by 0.0253068414303479
impressions,0,0,4.6842,0,pageviews,impressions,log-level,a one unit increase in impressions increases pageviews by 0.00365475574918835%
log(impressions + 1),0.0324,0.0064,5.0979,0,pageviews,impressions,log-log,a one pct increase in impressions increases pageviews by 0.0324356864396862%
clicks,10.1449,4.7566,2.1328,0.033,pageviews,clicks,level-level,a one unit increase in clicks increases pageviews by 10.1449455953904
clicks,0.0181,0.0058,3.1223,0.0018,pageviews,clicks,log-level,a one unit increase in clicks increases pageviews by 1.81311201598885%
log(clicks + 1),0.0802,0.0226,3.5556,0.0004,pageviews,clicks,log-log,a one pct increase in clicks increases pageviews by 0.0802477292945741%
bannerRunTRUE,68.8512,10.2752,6.7007,0,users,bannerRun,level-level,a one unit increase in bannerRun increases users by 68.8511641636773
bannerRunTRUE,0.2415,0.0433,5.5782,0,users,bannerRun,log-level,a one unit increase in bannerRun increases users by 24.1523289195355%
impressions,0.0117,0.0022,5.3425,0,users,impressions,level-level,a one unit increase in impressions increases users by 0.0116540495155473
impressions,0,0,6.4416,0,users,impressions,log-level,a one unit increase in impressions increases users by 0.00485488899051678%
log(impressions + 1),0.0342,0.0054,6.285,0,users,impressions,log-log,a one pct increase in impressions increases users by 0.0342258918109789%
clicks,4.9101,1.4605,3.3619,0.0008,users,clicks,level-level,a one unit increase in clicks increases users by 4.91006488911248
clicks,0.0243,0.0058,4.2216,0,users,clicks,log-level,a one unit increase in clicks increases users by 2.43339635630193%
log(clicks + 1),0.1018,0.0218,4.6784,0,users,clicks,log-log,a one pct increase in clicks increases users by 0.101822755337049%
bannerRunTRUE,77.863,11.1198,7.0022,0,sessions,bannerRun,level-level,a one unit increase in bannerRun increases sessions by 77.8629999306796
bannerRunTRUE,0.2581,0.0429,6.0165,0,sessions,bannerRun,log-level,a one unit increase in bannerRun increases sessions by 25.8106937380329%
impressions,0.0129,0.0023,5.5119,0,sessions,impressions,level-level,a one unit increase in impressions increases sessions by 0.0128823022120248
impressions,0,0,6.4763,0,sessions,impressions,log-level,a one unit increase in impressions increases sessions by 0.00486592927074898%
log(impressions + 1),0.0361,0.0054,6.7175,0,sessions,impressions,log-log,a one pct increase in impressions increases sessions by 0.0361121481802158%
clicks,5.357,1.5537,3.448,0.0006,sessions,clicks,level-level,a one unit increase in clicks increases sessions by 5.35698388020268
clicks,0.0239,0.0057,4.1793,0,sessions,clicks,log-level,a one unit increase in clicks increases sessions by 2.39003757883795%
log(clicks + 1),0.1031,0.0215,4.799,0,sessions,clicks,log-log,a one pct increase in clicks increases sessions by 0.103082957573033%
